time,logger,level,message,exception
2012-10-17 00:00:04.8744,Raven.Database.Server.HttpServer,Debug,Request # 532: GET     -    34 ms - <default>  - 200 - /stats?noCache=2118842058,
2012-10-17 00:00:04.8754,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:09.9034,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:15.0044,Raven.Database.Server.HttpServer,Debug,Request # 533: GET     -    28 ms - <default>  - 200 - /stats?noCache=-1658080437,
2012-10-17 00:00:15.0044,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:21.0084,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:26.0824,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:31.1214,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:36.1964,Raven.Database.Server.HttpServer,Debug,Request # 534: GET     -    29 ms - <default>  - 200 - /stats?noCache=-1468171632,
2012-10-17 00:00:36.1994,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:41.2564,Raven.Database.Server.HttpServer,Debug,Request # 535: GET     -    32 ms - <default>  - 200 - /stats?noCache=2056687069,
2012-10-17 00:00:41.2564,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:46.2964,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:51.3614,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:00:56.3994,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:01.4544,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:06.5154,Raven.Database.Server.HttpServer,Debug,Request # 536: GET     -    28 ms - <default>  - 200 - /stats?noCache=1226540679,
2012-10-17 00:01:06.5154,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:12.5454,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:17.6034,Raven.Database.Server.HttpServer,Debug,Request # 537: GET     -    27 ms - <default>  - 200 - /stats?noCache=24163867,
2012-10-17 00:01:17.6034,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:22.6374,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:27.7024,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:32.7534,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:37.8074,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:42.8834,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:47.9444,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:52.9994,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:01:58.0534,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:03.0974,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:08.1724,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:08.1724,Raven.Database.Server.HttpServer,Debug,Request # 538: GET     -    26 ms - <default>  - 200 - /stats?noCache=-1049111930,
2012-10-17 00:02:13.2094,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:18.3114,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:18.3114,Raven.Database.Server.HttpServer,Debug,Request # 539: GET     -    31 ms - <default>  - 200 - /docs/79f917cb-8fe9-47bc-ae56-a124b433bb7e?noCache=-1449182932,
2012-10-17 00:02:18.3264,Raven.Database.Server.HttpServer,Debug,Request # 540: GET     -    45 ms - <default>  - 200 - /stats?noCache=1621423407,
2012-10-17 00:02:23.3574,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:28.4234,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:33.4664,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:38.5194,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:43.5744,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:48.6174,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:53.6594,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:02:58.7134,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:03.7704,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:08.8424,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:13.9004,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:18.9504,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:24.0094,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:29.0664,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:34.1364,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:39.2004,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:39.2004,Raven.Database.Server.HttpServer,Debug,Request # 541: GET     -    30 ms - <default>  - 200 - /stats?noCache=-2118249202,
2012-10-17 00:03:44.2674,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:49.3204,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:54.3614,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:03:59.4024,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:04:04.4674,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:04:04.4674,Raven.Database.Server.HttpServer,Debug,Request # 542: GET     -    28 ms - <default>  - 200 - /docs/79f917cb-8fe9-47bc-ae56-a124b433bb7e?noCache=-708896484,
2012-10-17 00:04:04.4674,Raven.Database.Server.HttpServer,Debug,Request # 543: GET     -    34 ms - <default>  - 200 - /stats?noCache=-707537026,
2012-10-17 00:04:10.5144,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
2012-10-17 00:04:10.5214,Raven.Database.Server.HttpServer,Debug,Request # 544: GET     -    30 ms - <default>  - 200 - /stats?noCache=286910885,
2012-10-17 00:04:15.5474,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key '79f917cb-8fe9-47bc-ae56-a124b433bb7e' was found,
